member_id,employee_number,nrc,first_name,last_name,gender,date_of_birth,date_joined_employer,date_joined_scheme,employment_status,department,sector,retirement_age,normal_retirement_date,current_age,service_years,pensionable_service_years,years_to_retirement,basic_salary,housing_allowance,transport_allowance,total_monthly_salary,pensionable_salary,annual_pensionable_salary,employee_contribution_rate,employer_contribution_rate,employee_monthly_contribution,employer_monthly_contribution,total_monthly_contribution,ee_accumulated_contributions,er_accumulated_contributions,total_accumulated_contributions,investment_return_assumption,salary_growth_assumption,inflation_assumption,accrual_rate,withdrawal_rate,disability_rate,spouse_percentage,mortality_table,benefit_formula_type,pension_type,projected_final_salary,projected_pension_benefit,last_valuation_date,status
MBR0000167,EMP000167,710973/16/3,Member167,Surname10,Female,1970-01-16,2025-04-29,2026-03-06,Retired,Client Services,Parastatal,60.0,2030-04-29,56.0,1.0,0.9,4.0,14609.0,1590.0,936.56,17135.56,13625.01,163500.12,0.05,0.12,681.25,1635.0,2316.25,9286.99,22919.0,32205.99,0.0731,0.0776,0.052,0.02,0.0353,0.0085,0.52,SAPS S2,DB,Defined Benefit,18372.45,1837.25,2026-12-31,Active
MBR0000168,EMP000168,780216/58/8,Member168,Surname330,Female,2001-08-03,2023-04-30,2024-01-21,Active,Corporate Affairs,Parastatal,65.0,2066-04-29,25.0,3.0,2.99,40.0,18526.0,4165.53,1163.49,23855.02,15937.03,191244.36,0.08,0.08,1274.96,1274.96,2549.92,53104.29,49415.38,102519.67,0.0986,0.0526,0.0646,0.02,0.0423,0.0029,0.58,A1967-70,Hybrid,Hybrid,123863.12,106522.28,2026-12-31,Active
MBR0000169,EMP000169,563422/23/7,Member169,Surname360,Male,1974-05-24,2024-04-29,2024-08-10,Active,Legal & Compliance,Private,60.0,2034-04-29,52.0,2.0,1.92,8.0,9987.0,1252.91,1005.21,12245.12,8781.43,105377.16,0.1,0.08,878.14,702.51,1580.65,21260.8,15647.01,36907.81,0.0768,0.0589,0.0753,0.025,0.026,0.0081,0.59,PMA92,DC,Defined Contribution,13880.49,3470.12,2026-12-31,Active
MBR0000170,EMP000170,303923/23/6,Member170,Surname129,Male,1981-05-21,2010-04-29,2010-07-03,Retired,Legal & Compliance,Public,65.0,2046-04-29,45.0,16.0,15.64,20.0,43349.0,9189.56,2226.39,54764.95,38622.66,463471.92,0.07,0.12,2703.59,4634.72,7338.31,606134.76,845588.62,1451723.38,0.0963,0.0465,0.0611,0.0167,0.036,0.0021,0.5,PA(90),Hybrid,Hybrid,95857.66,57629.63,2026-12-31,Active
MBR0000171,EMP000171,411918/36/4,Member171,Surname21,Male,1977-08-23,2011-04-30,2011-12-09,Active,Legal & Compliance,Private,60.0,2037-04-28,49.0,15.0,13.97,11.0,4896.0,591.02,325.98,5813.0,4183.51,50202.12,0.07,0.15,292.85,627.53,920.38,59699.84,107172.25,166872.09,0.0873,0.0627,0.0749,0.02,0.0463,0.0093,0.52,PMA92,DB,Defined Benefit,8166.92,4246.8,2026-12-31,Active
MBR0000172,EMP000172,878533/23/5,Member172,Surname83,Male,1983-05-04,2019-04-30,2019-11-18,Active,Human Resources,Parastatal,55.0,2038-04-29,43.0,7.0,6.76,12.0,19683.0,3918.25,1711.61,25312.86,17717.48,212609.76,0.06,0.12,1063.05,2126.1,3189.15,73042.2,201773.88,274816.08,0.0826,0.0566,0.0598,0.025,0.0498,0.0039,0.65,A1967-70,DC,Defined Contribution,34302.77,16293.82,2026-12-31,Active
MBR0000173,EMP000173,880736/85/2,Member173,Surname498,Female,2001-10-12,2021-04-29,2021-10-26,Retired,Legal & Compliance,Private,65.0,2066-04-29,25.0,5.0,4.55,40.0,27135.0,6662.2,2228.97,36026.17,25653.1,307837.2,0.08,0.1,2052.25,2565.31,4617.56,141085.64,140386.13,281471.77,0.0933,0.0445,0.0587,0.02,0.0281,0.0049,0.58,PA(90),Hybrid,Hybrid,146378.61,131740.75,2026-12-31,Active
MBR0000174,EMP000174,878261/36/5,Member174,Surname381,Female,2001-01-22,2023-04-30,2023-05-06,Deferred,Executive,Private,65.0,2066-04-29,25.0,3.0,2.77,40.0,5301.0,846.15,417.8,6564.95,4655.11,55861.32,0.08,0.1,372.41,465.51,837.92,13883.97,16863.8,30747.77,0.0963,0.0449,0.0534,0.02,0.0225,0.0053,0.63,PMA92,DC,Defined Contribution,26972.37,23196.24,2026-12-31,Active
MBR0000175,EMP000175,715342/53/2,Member175,Surname178,Female,2003-04-10,2025-04-29,2026-01-18,Retired,Research & Analytics,Public,65.0,2068-04-28,23.0,1.0,0.93,42.0,36522.0,5389.48,3498.01,45409.49,33681.39,404176.68,0.07,0.08,2357.7,2694.51,5052.21,30173.47,37063.79,67237.26,0.0742,0.0546,0.0515,0.0167,0.0494,0.004,0.62,SAPS S2,DC,Defined Contribution,314105.99,225559.51,2026-12-31,Active
MBR0000176,EMP000176,929577/61/5,Member176,Surname152,Male,1984-02-24,2020-04-29,2020-04-29,Active,Legal & Compliance,Public,65.0,2049-04-28,42.0,6.0,5.93,23.0,42383.0,8841.78,2191.79,53416.57,40499.52,485994.24,0.1,0.1,4049.95,4049.95,8099.9,265263.91,328165.69,593429.6,0.0748,0.0664,0.0727,0.0167,0.0249,0.0049,0.64,PA(90),DC,Defined Contribution,177669.55,86045.36,2026-12-31,Active
MBR0000177,EMP000177,219187/97/7,Member177,Surname217,Female,1965-09-28,1996-04-29,1996-10-24,Active,Investment,Parastatal,55.0,2026-04-29,61.0,30.0,27.55,0.0,43718.0,10806.62,4242.44,58767.06,42203.58,506442.96,0.07,0.15,2954.25,6330.54,9284.79,1124686.54,2628639.0,3753325.54,0.0771,0.0599,0.0719,0.02,0.0299,0.0052,0.61,A1967-70,DC,Defined Contribution,42203.58,25322.15,2026-12-31,Inactive
MBR0000178,EMP000178,682949/93/7,Member178,Surname319,Female,1989-03-06,2019-04-30,2020-01-10,Retired,Corporate Affairs,Parastatal,60.0,2049-04-28,37.0,7.0,6.93,23.0,4088.0,1005.6,451.68,5545.28,3661.0,43932.0,0.08,0.1,292.88,366.1,658.98,22861.37,28129.52,50990.89,0.0741,0.062,0.0634,0.02,0.0233,0.007,0.64,A1967-70,DB,Defined Benefit,14603.72,8762.23,2026-12-31,Active
MBR0000179,EMP000179,273002/29/7,Member179,Surname155,Male,1997-07-23,2022-04-29,2022-08-06,Active,Client Services,Public,65.0,2062-04-29,29.0,4.0,3.79,36.0,11255.0,1215.03,830.91,13300.94,10731.22,128774.64,0.06,0.1,643.87,1073.12,1716.99,27205.31,41226.89,68432.2,0.0842,0.0416,0.0582,0.025,0.0453,0.0084,0.52,SAPS S2,Hybrid,Hybrid,46546.18,46546.18,2026-12-31,Active
MBR0000180,EMP000180,871088/35/1,Member180,Surname330,Male,1969-12-17,2011-04-30,2012-03-16,Active,Corporate Affairs,Private,60.0,2030-04-29,56.0,15.0,13.71,4.0,9868.0,2343.3,807.54,13018.84,8510.78,102129.36,0.07,0.1,595.75,851.08,1446.83,120570.69,143411.07,263981.76,0.0962,0.0509,0.0547,0.02,0.0233,0.0031,0.51,A1967-70,Hybrid,Hybrid,10380.42,3944.56,2026-12-31,Active
MBR0000181,EMP000181,899794/79/4,Member181,Surname488,Female,1964-10-10,2014-04-29,2015-01-31,Active,Executive,Parastatal,65.0,2029-04-28,62.0,12.0,11.33,3.0,4739.0,795.97,521.1,6056.07,4546.07,54552.84,0.07,0.1,318.22,454.61,772.83,49984.76,74747.32,124732.08,0.082,0.0667,0.062,0.02,0.0303,0.005,0.52,PA(90),DB,Defined Benefit,5517.76,1655.33,2026-12-31,Active
MBR0000182,EMP000182,790721/39/6,Member182,Surname402,Male,1983-05-26,2015-04-30,2015-06-30,Active,Risk Management,Parastatal,60.0,2043-04-29,43.0,11.0,10.19,17.0,10951.0,2575.43,982.14,14508.57,9626.68,115520.16,0.07,0.12,673.87,1155.2,1829.07,89186.07,131054.12,220240.19,0.0834,0.0617,0.058,0.02,0.0382,0.0053,0.55,A1967-70,Hybrid,Hybrid,26638.36,14917.48,2026-12-31,Active
MBR0000183,EMP000183,323568/57/1,Member183,Surname182,Male,1977-08-02,2000-04-29,2001-03-26,Active,Executive,Parastatal,65.0,2042-04-29,49.0,26.0,24.65,16.0,3247.0,635.6,209.95,4092.55,2869.85,34438.2,0.08,0.1,229.59,286.99,516.58,59356.84,72937.56,132294.4,0.0833,0.0647,0.0761,0.0167,0.0477,0.0064,0.57,A1967-70,Hybrid,Hybrid,7825.2,5488.6,2026-12-31,Inactive
MBR0000184,EMP000184,521281/17/7,Member184,Surname138,Male,1964-11-25,2014-04-29,2014-10-29,Deferred,Risk Management,Parastatal,65.0,2030-04-29,61.0,12.0,11.59,4.0,14087.0,1984.48,1354.0,17425.48,13177.64,158131.68,0.06,0.12,790.66,1581.32,2371.98,120417.05,218358.84,338775.89,0.0701,0.0579,0.0502,0.0167,0.0293,0.01,0.66,PMA92,DC,Defined Contribution,16505.02,4410.14,2026-12-31,Active
MBR0000185,EMP000185,384725/51/4,Member185,Surname407,Female,1963-12-19,2020-04-29,2020-08-23,Active,Legal & Compliance,Public,65.0,2029-04-28,62.0,6.0,5.84,3.0,16214.0,1662.32,1121.95,18998.27,16105.49,193265.88,0.07,0.08,1127.38,1288.44,2415.82,71025.96,91996.35,163022.31,0.0953,0.0703,0.0631,0.02,0.0323,0.0068,0.57,A1967-70,DC,Defined Contribution,19746.52,3554.37,2026-12-31,Active
MBR0000186,EMP000186,805219/90/2,Member186,Surname297,Male,1996-02-24,2017-04-29,2017-10-31,Active,Client Services,Private,65.0,2061-04-28,30.0,9.0,8.37,35.0,3079.0,539.11,270.46,3888.57,2872.27,34467.24,0.08,0.1,229.78,287.23,517.01,26453.16,33552.54,60005.7,0.0823,0.0561,0.0554,0.02,0.0405,0.0079,0.56,SAPS S2,Hybrid,Hybrid,19404.47,17075.93,2026-12-31,Active
MBR0000187,EMP000187,216619/94/5,Member187,Surname232,Male,1987-10-24,2010-04-29,2010-06-12,Active,Finance,Parastatal,60.0,2047-04-29,39.0,16.0,15.41,21.0,5124.0,842.19,397.82,6364.01,4587.1,55045.2,0.06,0.12,275.23,550.45,825.68,45162.83,117329.85,162492.68,0.0761,0.0693,0.0742,0.0167,0.0207,0.0042,0.59,A1967-70,Hybrid,Hybrid,18733.94,11575.7,2026-12-31,Active
MBR0000188,EMP000188,933379/63/7,Member188,Surname301,Male,1964-01-21,1995-04-30,1995-12-27,Active,Client Services,Public,60.0,2026-04-29,62.0,31.0,28.95,0.0,10854.0,2119.79,872.0,13845.79,9624.03,115488.36,0.08,0.12,769.92,1154.88,1924.8,288622.92,438967.16,727590.08,0.0767,0.0672,0.0616,0.02,0.0458,0.0088,0.52,A1967-70,DC,Defined Contribution,9624.03,5966.9,2026-12-31,Active
MBR0000189,EMP000189,561299/20/2,Member189,Surname341,Male,1976-11-01,2016-04-29,2016-07-20,Active,Risk Management,Private,60.0,2037-04-28,49.0,10.0,9.22,11.0,11224.0,1932.06,734.74,13890.8,10392.93,124715.16,0.1,0.12,1039.29,1247.15,2286.44,124656.38,136996.49,261652.87,0.0754,0.0751,0.0713,0.02,0.0236,0.0057,0.57,SAPS S2,DC,Defined Contribution,23050.24,9681.1,2026-12-31,Inactive
MBR0000190,EMP000190,342320/32/4,Member190,Surname315,Male,2002-01-06,2024-04-29,2025-01-27,Active,Client Services,Parastatal,65.0,2067-04-29,24.0,2.0,1.83,41.0,12895.0,1600.81,893.67,15389.48,12662.46,151949.52,0.07,0.1,886.37,1266.25,2152.62,18857.23,30207.18,49064.41,0.0915,0.0515,0.0727,0.02,0.0309,0.0078,0.61,SAPS S2,DC,Defined Contribution,99242.67,85348.7,2026-12-31,Active
MBR0000191,EMP000191,704879/73/2,Member191,Surname80,Female,1988-10-07,2021-04-29,2021-12-02,Active,Corporate Affairs,Private,65.0,2053-04-28,38.0,5.0,4.58,27.0,17608.0,3829.09,1688.46,23125.55,16792.22,201506.64,0.06,0.12,1007.53,2015.07,3022.6,54114.27,144148.77,198263.04,0.0768,0.0495,0.0758,0.02,0.0346,0.0039,0.54,PMA92,DB,Defined Benefit,61891.94,39610.84,2026-12-31,Active
MBR0000192,EMP000192,279710/39/5,Member192,Surname316,Male,2004-07-04,2024-04-29,2024-05-10,Deferred,Actuarial,Private,65.0,2069-04-28,22.0,2.0,1.84,43.0,8849.0,2043.42,803.06,11695.48,8068.48,96821.76,0.07,0.1,564.79,806.85,1371.64,15245.98,22571.18,37817.16,0.0973,0.049,0.0593,0.0167,0.0476,0.0028,0.5,PMA92,DB,Defined Benefit,63115.75,47431.49,2026-12-31,Active
MBR0000193,EMP000193,650895/57/1,Member193,Surname102,Female,1983-06-22,2010-04-29,2010-12-02,Retired,Corporate Affairs,Public,60.0,2043-04-29,43.0,16.0,15.56,17.0,13653.0,2625.26,891.14,17169.4,12962.69,155552.28,0.08,0.08,1037.02,1037.02,2074.04,162779.28,194296.39,357075.67,0.0932,0.066,0.0711,0.02,0.0259,0.0043,0.59,A1967-70,DB,Defined Benefit,38420.91,25357.8,2026-12-31,Active
MBR0000194,EMP000194,790435/26/5,Member194,Surname442,Female,1963-05-23,2005-04-29,2006-03-30,Active,Actuarial,Parastatal,65.0,2028-04-28,63.0,21.0,20.5,2.0,15554.0,2976.72,1251.19,19781.91,13972.41,167668.92,0.07,0.08,978.07,1117.79,2095.86,197914.04,321303.7,519217.74,0.0714,0.061,0.0684,0.0167,0.0272,0.0032,0.55,SAPS S2,DC,Defined Contribution,15729.04,6041.52,2026-12-31,Active
MBR0000195,EMP000195,490585/22/2,Member195,Surname461,Male,1997-11-01,2021-04-29,2021-07-21,Active,Corporate Affairs,Public,65.0,2063-04-29,28.0,5.0,4.76,37.0,7901.0,1289.86,703.98,9894.84,6858.41,82300.92,0.08,0.1,548.67,685.84,1234.51,33568.99,41967.38,75536.37,0.0881,0.0422,0.0551,0.0167,0.0387,0.0049,0.55,PMA92,Hybrid,Hybrid,31652.86,22201.32,2026-12-31,Active
MBR0000196,EMP000196,847267/35/7,Member196,Surname206,Male,1987-06-26,2021-04-29,2021-10-11,Active,Client Services,Parastatal,65.0,2052-04-28,39.0,5.0,4.88,26.0,10679.0,1307.4,795.58,12781.98,10226.17,122714.04,0.06,0.12,613.57,1227.14,1840.71,35587.57,60421.81,96009.38,0.098,0.0565,0.0735,0.02,0.0303,0.0049,0.67,SAPS S2,Hybrid,Hybrid,42689.4,26467.43,2026-12-31,Active
MBR0000197,EMP000197,122293/92/2,Member197,Surname301,Female,1966-03-09,2004-04-29,2005-02-25,Deferred,Operations,Private,65.0,2031-04-29,60.0,22.0,21.49,5.0,4472.0,859.34,482.0,5813.34,4103.42,49241.04,0.06,0.1,246.21,410.34,656.55,65259.15,122918.8,188177.95,0.0752,0.0645,0.0726,0.025,0.0216,0.006,0.61,A1967-70,DB,Defined Benefit,5608.86,3785.98,2026-12-31,Active
MBR0000198,EMP000198,134624/60/5,Member198,Surname160,Male,1993-04-10,2015-04-30,2015-11-17,Active,Client Services,Private,55.0,2048-04-28,33.0,11.0,10.92,22.0,71381.0,17594.49,5066.29,94041.78,62549.59,750595.08,0.06,0.1,3752.98,6254.96,10007.94,569604.39,825666.68,1395271.07,0.0717,0.0416,0.0568,0.025,0.0299,0.0087,0.65,PA(90),Hybrid,Hybrid,153336.6,126502.7,2026-12-31,Active
MBR0000199,EMP000199,368122/76/2,Member199,Surname62,Female,1971-07-20,2024-04-29,2024-12-25,Active,Corporate Affairs,Private,55.0,2026-04-29,55.0,2.0,1.87,0.0,4086.0,410.88,297.19,4794.07,3834.42,46013.04,0.07,0.1,268.41,383.44,651.85,7707.53,10820.46,18527.99,0.0738,0.0566,0.0695,0.02,0.0415,0.007,0.64,PMA92,DC,Defined Contribution,3834.42,153.38,2026-12-31,Active
MBR0000200,EMP000200,248903/70/1,Member200,Surname440,Male,1966-10-09,2017-04-29,2017-07-08,Retired,Finance,Private,55.0,2026-04-29,60.0,9.0,8.98,0.0,14339.0,2261.79,720.17,17320.96,13637.59,163651.08,0.05,0.15,681.88,2045.64,2727.52,59581.76,223622.26,283204.02,0.0968,0.0629,0.0683,0.02,0.0333,0.0048,0.63,A1967-70,Hybrid,Hybrid,13637.59,2454.77,2026-12-31,Active
MBR0000201,EMP000201,163289/20/4,Member201,Surname52,Male,1975-08-27,2000-04-29,2000-06-30,Active,Legal & Compliance,Public,65.0,2040-04-28,51.0,26.0,24.86,14.0,3098.0,741.92,170.72,4010.64,2667.31,32007.72,0.07,0.1,186.71,266.73,453.44,69034.94,96900.62,165935.56,0.0821,0.0579,0.0613,0.0167,0.023,0.0028,0.58,PMA92,DC,Defined Contribution,5865.41,3918.09,2026-12-31,Active
MBR0000202,EMP000202,875633/68/1,Member202,Surname255,Male,2002-10-25,2024-04-29,2024-07-08,Active,Corporate Affairs,Parastatal,60.0,2062-04-29,24.0,2.0,1.84,36.0,18985.0,3051.91,1896.1,23933.01,17922.57,215070.84,0.06,0.08,1075.35,1433.81,2509.16,25164.35,35303.77,60468.12,0.0742,0.0517,0.0592,0.02,0.0231,0.0086,0.58,PMA92,Hybrid,Hybrid,110029.15,83622.15,2026-12-31,Active
MBR0000203,EMP000203,691577/87/5,Member203,Surname412,Male,2003-01-11,2024-04-29,2025-01-28,Active,Corporate Affairs,Private,65.0,2068-04-28,23.0,2.0,1.97,42.0,13074.0,1687.85,1249.3,16011.15,12260.28,147123.36,0.06,0.15,735.62,1839.04,2574.66,16726.01,36187.7,52913.71,0.0798,0.0748,0.0775,0.02,0.0315,0.0081,0.6,SAPS S2,DC,Defined Contribution,253665.86,223225.96,2026-12-31,Active
MBR0000204,EMP000204,680118/31/3,Member204,Surname131,Male,1980-02-06,2006-04-29,2007-04-13,Active,Corporate Affairs,Parastatal,60.0,2040-04-28,46.0,20.0,18.19,14.0,4891.0,571.48,513.3,5975.78,4564.4,54772.8,0.07,0.12,319.51,547.73,867.24,71532.45,128739.74,200272.19,0.0959,0.0667,0.0729,0.02,0.0366,0.0069,0.62,SAPS S2,DB,Defined Benefit,11271.35,7664.52,2026-12-31,Active
MBR0000205,EMP000205,415724/13/3,Member205,Surname73,Male,1989-03-13,2025-04-29,2026-04-28,Retired,Corporate Affairs,Public,60.0,2049-04-28,37.0,1.0,0.91,23.0,11381.0,1566.45,845.46,13792.91,10763.36,129160.32,0.07,0.1,753.44,1076.34,1829.78,7377.8,15075.35,22453.15,0.0822,0.0531,0.0526,0.02,0.0381,0.0094,0.57,SAPS S2,Hybrid,Hybrid,35379.28,16982.05,2026-12-31,Active
MBR0000206,EMP000206,786995/28/4,Member206,Surname456,Female,1993-02-01,2022-04-29,2022-07-28,Active,Legal & Compliance,Private,60.0,2053-04-28,33.0,4.0,3.9,27.0,17307.0,3459.29,1870.19,22636.48,15430.39,185164.68,0.07,0.08,1080.13,1234.43,2314.56,59493.47,61206.31,120699.78,0.0789,0.0428,0.0717,0.02,0.0397,0.0072,0.65,PA(90),DB,Defined Benefit,47841.47,29661.71,2026-12-31,Inactive
MBR0000207,EMP000207,568899/70/3,Member207,Surname128,Female,1990-05-29,2015-04-30,2015-09-09,Active,Legal & Compliance,Private,65.0,2055-04-29,36.0,11.0,10.69,29.0,3386.0,795.8,378.94,4560.74,3361.54,40338.48,0.07,0.12,235.31,403.38,638.69,35138.91,49320.79,84459.7,0.0744,0.0799,0.0509,0.02,0.0265,0.0086,0.54,PA(90),DB,Defined Benefit,31236.4,24989.12,2026-12-31,Active
MBR0000208,EMP000208,332845/27/5,Member208,Surname192,Female,1964-08-19,2016-04-29,2016-07-24,Active,Client Services,Public,65.0,2029-04-28,62.0,10.0,9.15,3.0,10289.0,2464.5,919.13,13672.63,9343.97,112127.64,0.1,0.1,934.4,934.4,1868.8,109155.93,108165.14,217321.07,0.0794,0.053,0.0706,0.0167,0.0366,0.0078,0.56,PA(90),DC,Defined Contribution,10909.79,2368.52,2026-12-31,Active
MBR0000209,EMP000209,366737/82/6,Member209,Surname463,Male,1983-01-06,2005-04-29,2005-08-04,Active,Investment,Public,65.0,2048-04-28,43.0,21.0,20.16,22.0,25661.0,4369.6,1339.23,31369.83,25506.81,306081.72,0.06,0.1,1530.41,2550.68,4081.09,367891.13,640053.7,1007944.83,0.0936,0.0402,0.078,0.02,0.0307,0.0055,0.61,SAPS S2,Hybrid,Hybrid,60705.33,52206.58,2026-12-31,Active
MBR0000210,EMP000210,905173/25/8,Member210,Surname465,Female,1993-09-23,2019-04-30,2020-02-26,Deferred,Finance,Parastatal,60.0,2053-04-28,33.0,7.0,6.67,27.0,3777.0,837.67,405.31,5019.98,3628.99,43547.88,0.1,0.1,362.9,362.9,725.8,34466.57,28679.47,63146.04,0.0861,0.0578,0.0502,0.02,0.0253,0.0072,0.53,PA(90),DC,Defined Contribution,16545.58,11250.99,2026-12-31,Active
MBR0000211,EMP000211,692977/98/7,Member211,Surname13,Female,1977-09-17,2024-04-29,2024-06-06,Active,Technology,Public,65.0,2042-04-29,49.0,2.0,1.8,16.0,44293.0,5368.71,3821.89,53483.6,38291.02,459492.24,0.08,0.08,3063.28,3063.28,6126.56,86589.79,64923.82,151513.61,0.0905,0.0451,0.0563,0.02,0.0305,0.0049,0.65,PA(90),DC,Defined Contribution,77557.27,27920.62,2026-12-31,Active
MBR0000212,EMP000212,576580/42/1,Member212,Surname85,Female,1969-09-05,2004-04-29,2004-09-26,Retired,Actuarial,Public,65.0,2034-04-29,57.0,22.0,20.68,8.0,6316.0,938.01,696.21,7950.22,5605.93,67271.16,0.1,0.1,560.59,560.59,1121.18,119789.43,133486.31,253275.74,0.0751,0.0603,0.0534,0.02,0.0436,0.0067,0.52,SAPS S2,DC,Defined Contribution,8955.25,5373.15,2026-12-31,Active
MBR0000213,EMP000213,528118/84/7,Member213,Surname259,Male,1973-07-01,2014-04-29,2014-06-08,Active,Client Services,Public,65.0,2038-04-29,53.0,12.0,11.22,12.0,3963.0,735.25,321.23,5019.48,3516.9,42202.8,0.07,0.12,246.18,422.03,668.21,32354.44,70866.5,103220.94,0.0792,0.0479,0.0786,0.025,0.0452,0.008,0.55,PMA92,Hybrid,Hybrid,6165.92,3699.55,2026-12-31,Active
MBR0000214,EMP000214,603953/39/3,Member214,Surname335,Male,1973-10-26,2022-04-29,2023-04-15,Active,Finance,Private,65.0,2038-04-29,53.0,4.0,3.66,12.0,15198.0,2181.02,1793.52,19172.54,14335.52,172026.24,0.08,0.1,1146.84,1433.55,2580.39,50377.17,56819.47,107196.64,0.0805,0.047,0.0699,0.025,0.0479,0.0049,0.52,PMA92,Hybrid,Hybrid,24875.6,9950.24,2026-12-31,Active
MBR0000215,EMP000215,957560/73/6,Member215,Surname358,Female,1972-07-30,2005-04-29,2005-12-26,Active,Investment,Public,60.0,2032-04-28,54.0,21.0,20.9,6.0,7396.0,760.4,629.3,8785.7,7243.71,86924.52,0.07,0.08,507.06,579.5,1086.56,152426.73,156357.94,308784.67,0.0955,0.0701,0.0709,0.02,0.0371,0.0044,0.58,PMA92,DC,Defined Contribution,10876.95,5873.55,2026-12-31,Active
MBR0000216,EMP000216,364622/73/5,Member216,Surname24,Male,1978-01-15,2018-04-29,2018-11-28,Active,Research & Analytics,Private,55.0,2033-04-28,48.0,8.0,7.77,7.0,113360.0,18370.92,10226.52,141957.44,104432.86,1253194.32,0.07,0.08,7310.3,8354.63,15664.93,813312.49,933712.06,1747024.55,0.0864,0.0623,0.0517,0.02,0.0286,0.0072,0.61,PMA92,DC,Defined Contribution,159429.04,47828.71,2026-12-31,Active
MBR0000217,EMP000217,477066/69/5,Member217,Surname132,Male,2000-12-30,2021-04-29,2021-12-06,Active,Client Services,Private,55.0,2056-04-28,25.0,5.0,4.86,30.0,11741.0,2256.44,595.6,14593.04,11050.09,132601.08,0.08,0.12,884.01,1326.01,2210.02,43683.72,73312.18,116995.9,0.0826,0.0472,0.0626,0.0167,0.0214,0.0065,0.57,A1967-70,Hybrid,Hybrid,44081.34,25765.54,2026-12-31,Active
MBR0000218,EMP000218,571098/11/3,Member218,Surname264,Female,2002-06-13,2024-04-29,2024-12-12,Deferred,Executive,Private,60.0,2062-04-29,24.0,2.0,1.83,36.0,8975.0,1143.5,1003.73,11122.23,8227.7,98732.4,0.07,0.1,575.94,822.77,1398.71,12654.5,17399.96,30054.46,0.0974,0.072,0.054,0.02,0.0263,0.0076,0.54,PMA92,Hybrid,Hybrid,100528.85,76401.93,2026-12-31,Active
MBR0000219,EMP000219,678161/27/8,Member219,Surname384,Female,1975-01-01,1995-04-30,1995-12-10,Active,Investment,Private,65.0,2040-04-28,51.0,31.0,30.67,14.0,14589.0,3436.71,897.87,18923.58,13665.65,163987.8,0.08,0.1,1093.25,1366.57,2459.82,466485.55,482542.15,949027.7,0.0752,0.0634,0.0626,0.0167,0.0364,0.0028,0.59,A1967-70,Hybrid,Hybrid,32313.46,24283.57,2026-12-31,Active
MBR0000220,EMP000220,967264/71/6,Member220,Surname52,Female,2004-07-14,2025-04-29,2025-06-13,Active,Investment,Parastatal,65.0,2069-04-28,22.0,1.0,0.92,43.0,21611.0,2476.23,1176.28,25263.51,20828.47,249941.64,0.07,0.1,1457.99,2082.85,3540.84,20322.25,28386.45,48708.7,0.0717,0.0646,0.0732,0.02,0.0448,0.01,0.52,SAPS S2,DB,Defined Benefit,307379.73,270494.16,2026-12-31,Active
MBR0000221,EMP000221,251331/43/2,Member221,Surname360,Female,1990-10-03,2021-04-29,2021-05-24,Deferred,Corporate Affairs,Parastatal,65.0,2055-04-29,36.0,5.0,4.82,29.0,18578.0,2756.61,2107.52,23442.13,16623.75,199485.0,0.06,0.15,997.42,2493.56,3490.98,64173.75,173292.77,237466.52,0.0747,0.0781,0.0684,0.02,0.0436,0.0092,0.62,SAPS S2,DB,Defined Benefit,147177.47,100080.68,2026-12-31,Active
MBR0000222,EMP000222,715967/46/8,Member222,Surname179,Male,1963-11-18,2011-04-30,2012-04-17,Deferred,Operations,Public,65.0,2029-04-28,62.0,15.0,14.42,3.0,31473.0,6701.64,1762.92,39937.56,29629.42,355553.04,0.06,0.1,1777.77,2962.94,4740.71,286678.52,438004.32,724682.84,0.0724,0.0764,0.0723,0.025,0.0305,0.008,0.64,PMA92,Hybrid,Hybrid,36952.53,16628.64,2026-12-31,Active
MBR0000223,EMP000223,204652/71/3,Member223,Surname67,Male,1962-04-20,2014-04-29,2014-07-19,Deferred,Investment,Parastatal,55.0,2026-04-29,64.0,12.0,10.94,0.0,36469.0,4126.23,4364.86,44960.09,36438.08,437256.96,0.07,0.15,2550.67,5465.71,8016.38,329621.93,861853.98,1191475.91,0.0964,0.0726,0.0744,0.02,0.0432,0.007,0.59,SAPS S2,Hybrid,Hybrid,36438.08,8745.14,2026-12-31,Active
MBR0000224,EMP000224,476958/27/3,Member224,Surname176,Female,1980-06-06,2002-04-29,2002-09-27,Deferred,Investment,Parastatal,65.0,2045-04-28,46.0,24.0,22.58,19.0,14772.0,3087.87,1467.87,19327.74,14396.08,172752.96,0.05,0.12,719.8,1727.53,2447.33,208443.43,412887.7,621331.13,0.0904,0.0687,0.0657,0.02,0.0409,0.0088,0.62,PMA92,DB,Defined Benefit,50875.02,43752.52,2026-12-31,Active
MBR0000225,EMP000225,678945/60/2,Member225,Surname231,Male,1983-08-31,2015-04-30,2016-01-05,Active,Legal & Compliance,Private,60.0,2043-04-29,43.0,11.0,10.88,17.0,17501.0,2533.38,1282.84,21317.22,16591.03,199092.36,0.07,0.08,1161.37,1327.28,2488.65,176234.13,176084.9,352319.03,0.0842,0.0479,0.0613,0.02,0.0482,0.0038,0.52,PMA92,DC,Defined Contribution,36754.51,20582.53,2026-12-31,Active
